"ID","INCOME_RANGE_CODE","EMPLOYMENT_LVL_CODE","ENGLISH_LANGUAGE_NATIVE","HIGHEST_ED_LVL_CODE_MOTHER","HIGHEST_ED_LVL_CODE_FATHER"
9510,"03-LT45K","3","Y","02-HS_GRAD","04-ASSOC"
7617,"03-LT45K",NA,"Y","04-ASSOC","04-ASSOC"
2809,"05-LT70K","3","N","02-HS_GRAD","03-SOMECOL"
7768,"02-LT35K","3","Y","02-HS_GRAD","01-HS_DNF"
5189,"03-LT45K","3","Y","05-BACC","04-ASSOC"
5123,"05-LT70K","1","Y","03-SOMECOL","05-BACC"
4159,"05-LT70K","3","Y","01-HS_DNF","00-UNKNOWN"
5344,"01-LT25K",NA,NA,NA,NA
5564,"01-LT25K","3","N","02-HS_GRAD","02-HS_GRAD"
5988,"03-LT45K","3","Y","02-HS_GRAD","04-ASSOC"
9846,"02-LT35K","1","Y","04-ASSOC","03-SOMECOL"
1011,"04-LT55K","3","Y","04-ASSOC","04-ASSOC"
5745,"04-LT55K","3","Y","00-UNKNOWN","00-UNKNOWN"
6183,"03-LT45K","3","Y","04-ASSOC","02-HS_GRAD"
1214,"05-LT70K","3","Y","06-MASTER","06-MASTER"
2456,"02-LT35K","3","Y","02-HS_GRAD","02-HS_GRAD"
5251,"01-LT25K","2","Y","02-HS_GRAD","02-HS_GRAD"
7929,"06-LT85K","2","Y","02-HS_GRAD","03-SOMECOL"
8799,"04-LT55K","1","Y","02-HS_GRAD","02-HS_GRAD"
9845,"08-LT120K","3","Y","02-HS_GRAD","01-HS_DNF"
6908,"07-LT100K","3","Y","02-HS_GRAD","05-BACC"
9534,"04-LT55K","3","Y","06-MASTER","00-UNKNOWN"
1216,"09-GE120K","3","Y","02-HS_GRAD","05-BACC"
3262,"01-LT25K","2","Y","03-SOMECOL","02-HS_GRAD"
9317,"07-LT100K","3","Y","03-SOMECOL","03-SOMECOL"
3355,"01-LT25K","1","Y","06-MASTER","04-ASSOC"
5197,"06-LT85K","1","Y","04-ASSOC","05-BACC"
8753,"03-LT45K","3","Y","05-BACC","05-BACC"
7487,"06-LT85K","3","Y","02-HS_GRAD","00-UNKNOWN"
1284,NA,"3","Y",NA,NA
8131,"02-LT35K","3","Y","06-MASTER","02-HS_GRAD"
8672,"03-LT45K","3","Y","05-BACC","04-ASSOC"
7471,"07-LT100K","3","Y","03-SOMECOL","04-ASSOC"
2969,"02-LT35K","2","Y","01-HS_DNF","01-HS_DNF"
7221,"03-LT45K","2","Y","02-HS_GRAD","02-HS_GRAD"
2519,"08-LT120K","3","Y","04-ASSOC","03-SOMECOL"
3827,"02-LT35K","1","Y","00-UNKNOWN","06-MASTER"
1818,"01-LT25K","2","Y","02-HS_GRAD","05-BACC"
245,"03-LT45K","3","Y","01-HS_DNF","02-HS_GRAD"
5461,"01-LT25K","1","Y","06-MASTER","05-BACC"
4263,"05-LT70K","3","N","05-BACC","05-BACC"
4107,"08-LT120K","3","N","02-HS_GRAD","04-ASSOC"
2837,"04-LT55K","3","Y","00-UNKNOWN","00-UNKNOWN"
1911,"05-LT70K","3","N","02-HS_GRAD","02-HS_GRAD"
7625,"08-LT120K","3","Y","06-MASTER","05-BACC"
9765,"06-LT85K","2","Y","04-ASSOC","04-ASSOC"
9127,"02-LT35K","2","Y","07-DOCTOR","03-SOMECOL"
6545,"05-LT70K",NA,"Y","02-HS_GRAD","02-HS_GRAD"
555,"07-LT100K","3","Y","02-HS_GRAD","02-HS_GRAD"
2431,"06-LT85K","3","Y","04-ASSOC","04-ASSOC"
5194,"07-LT100K","3","Y","03-SOMECOL","00-UNKNOWN"
1607,"04-LT55K","3","Y","00-UNKNOWN","00-UNKNOWN"
9191,"05-LT70K","3","Y","03-SOMECOL","03-SOMECOL"
4401,"03-LT45K","3","Y","02-HS_GRAD","02-HS_GRAD"
6660,"03-LT45K","3","Y","04-ASSOC","04-ASSOC"
7157,"03-LT45K","3","Y","04-ASSOC","02-HS_GRAD"
2967,"02-LT35K","3","Y","02-HS_GRAD","02-HS_GRAD"
3925,"04-LT55K",NA,"Y","02-HS_GRAD","02-HS_GRAD"
5955,NA,"3","Y","02-HS_GRAD","02-HS_GRAD"
4377,"04-LT55K","3","Y","02-HS_GRAD","05-BACC"
9935,"09-GE120K","3","Y","01-HS_DNF","01-HS_DNF"
6201,"02-LT35K","3","Y","00-UNKNOWN","00-UNKNOWN"
7980,"05-LT70K","3","Y","03-SOMECOL","05-BACC"
2682,"07-LT100K","3","Y","04-ASSOC","02-HS_GRAD"
1850,"05-LT70K","3","Y","02-HS_GRAD","02-HS_GRAD"
2984,"06-LT85K",NA,"Y","02-HS_GRAD","02-HS_GRAD"
3851,"08-LT120K",NA,"Y","02-HS_GRAD","05-BACC"
1745,"02-LT35K","1","Y","03-SOMECOL","06-MASTER"
5376,"02-LT35K","1","Y","05-BACC","05-BACC"
9767,"05-LT70K","3","Y","02-HS_GRAD","02-HS_GRAD"
5740,"01-LT25K","3","Y","01-HS_DNF","01-HS_DNF"
9106,"02-LT35K","3","Y","06-MASTER","05-BACC"
9356,"03-LT45K","3","Y","02-HS_GRAD","02-HS_GRAD"
161,"04-LT55K","2","Y","02-HS_GRAD","02-HS_GRAD"
4977,"02-LT35K","3","Y","01-HS_DNF","01-HS_DNF"
4250,"03-LT45K","3","Y","02-HS_GRAD","02-HS_GRAD"
8944,"05-LT70K",NA,"Y","02-HS_GRAD","02-HS_GRAD"
3148,"06-LT85K","3","Y","04-ASSOC","06-MASTER"
6695,"09-GE120K","3","Y","03-SOMECOL","04-ASSOC"
6891,"05-LT70K","3","Y","06-MASTER","06-MASTER"
3826,"07-LT100K",NA,"N","02-HS_GRAD","02-HS_GRAD"
6850,"05-LT70K","3","Y","02-HS_GRAD","02-HS_GRAD"
147,"03-LT45K","3","Y","03-SOMECOL","01-HS_DNF"
4192,"02-LT35K","3","Y","05-BACC","05-BACC"
4961,"02-LT35K","3","Y","01-HS_DNF","01-HS_DNF"
8461,"01-LT25K","3","Y","03-SOMECOL","02-HS_GRAD"
1685,"02-LT35K","3","Y","02-HS_GRAD","02-HS_GRAD"
6595,"04-LT55K","2","Y","02-HS_GRAD","02-HS_GRAD"
7088,"03-LT45K","3","Y","03-SOMECOL","03-SOMECOL"
1895,NA,NA,"N",NA,NA
9490,"09-GE120K","3","Y","02-HS_GRAD","03-SOMECOL"
5621,"04-LT55K","3","Y","04-ASSOC","00-UNKNOWN"
7864,"03-LT45K","3","Y","00-UNKNOWN","00-UNKNOWN"
2159,"04-LT55K","3","Y","03-SOMECOL","06-MASTER"
9050,"04-LT55K","3","Y","04-ASSOC","02-HS_GRAD"
4781,"07-LT100K",NA,"Y","02-HS_GRAD","00-UNKNOWN"
7099,"04-LT55K","3","Y","02-HS_GRAD","02-HS_GRAD"
5929,"03-LT45K","3","Y","02-HS_GRAD","06-MASTER"
2179,"04-LT55K","3","Y","03-SOMECOL","02-HS_GRAD"
3245,"04-LT55K","3","Y","04-ASSOC","02-HS_GRAD"
1461,"02-LT35K","3","Y","02-HS_GRAD","05-BACC"
7734,"01-LT25K","2","Y","02-HS_GRAD","02-HS_GRAD"
9281,"04-LT55K","3","N","00-UNKNOWN","00-UNKNOWN"
7619,"01-LT25K","2","Y","04-ASSOC","05-BACC"
5969,"04-LT55K","3","Y","02-HS_GRAD","02-HS_GRAD"
9842,"07-LT100K","3","Y","02-HS_GRAD","02-HS_GRAD"
